categoria,stazPart,stazArr,Regione_part,Provincia_part,Comune_part,Longitudine_part,Latitudine_part,Regione_arr,Provincia_arr,Comune_arr,Longitudine_arr,Latitudine_arr
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,SONDRIO,SONDRIO,9.87293659999999,46.1670452999999,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
REG,SONDRIO,LECCO,Lombardia,CITTA' METROPOLITANA DI MILANO,MILANO,9.2005584,45.4899902,Lombardia,LECCO,LECCO,9.39374849999999,45.8564076999999
